Cut,inertia,OMI,Tol,Rtol,omi,tol,rtol,Niche 
293,1.533294562,0.808989897,0.299941488,0.424363177,52.8,19.6,27.7,50
294,1.537645426,0.811833778,0.301543891,0.424267757,52.8,19.6,27.6,50
295,1.558022677,0.826981935,0.303792768,0.427247974,53.1,19.5,27.4,50
296,1.558783403,0.827656758,0.304597459,0.426529186,53.1,19.5,27.4,50
297,1.586604379,0.846488948,0.312695696,0.427419735,53.4,19.7,26.9,50
298,1.606682594,0.857615927,0.319106189,0.429960478,53.4,19.9,26.8,50
299,1.62977314,0.870005749,0.326274346,0.433493045,53.4,20,26.6,50
300,1.689523609,0.903279882,0.34566429,0.440579437,53.5,20.5,26.1,50
301,1.695082631,0.905942101,0.346848812,0.442291718,53.4,20.5,26.1,50
302,1.725602314,0.923367705,0.357448379,0.44478623,53.5,20.7,25.8,50
303,1.730801726,0.926040764,0.358811347,0.445949615,53.5,20.7,25.8,50
304,1.753864775,0.942865457,0.363140032,0.447859286,53.8,20.7,25.5,50
305,1.765808955,0.949605329,0.368238448,0.447965179,53.8,20.9,25.4,50
306,1.81515889,0.986970484,0.381610376,0.446578031,54.4,21,24.6,50
307,1.820952539,0.990017106,0.383374022,0.447561411,54.4,21.1,24.6,50
308,1.824420706,0.991994005,0.384287284,0.448139417,54.4,21.1,24.6,50
309,1.85601361,1.017509544,0.387601738,0.450902328,54.8,20.9,24.3,50
310,1.860514245,1.020063726,0.388787223,0.451663296,54.8,20.9,24.3,50
311,1.916108738,1.056755264,0.401489631,0.457863843,55.2,21,23.9,50
312,1.93309585,1.069396837,0.408436453,0.45526256,55.3,21.1,23.6,50
313,1.964719881,1.091398155,0.413750888,0.459570838,55.5,21.1,23.4,50
314,1.971455835,1.097420354,0.413307792,0.460727688,55.7,21,23.4,50
315,2.004033407,1.12097294,0.418102599,0.464957869,55.9,20.9,23.2,50
316,2.011491174,1.125642769,0.419383914,0.466464491,56,20.8,23.2,50
317,2.017071948,1.12883649,0.421051413,0.467184045,56,20.9,23.2,50
